index,seed,gae_lambda
0,29,0.2
1,6,0.2
2,11,0.2
3,15,0.2
4,26,0.2
5,24,0.2
6,20,0.1
7,15,0.1
8,13,0.1
9,25,0.1
10,16,0.2
11,1,0.2
12,23,0.2
13,3,0.2
14,9,0.2
15,18,0.2
16,26,0.1
17,2,0.2
18,0,0.30000000000000004
19,25,0.2
20,12,0.2
21,21,0.2
22,17,0.1
23,0,0.2
24,22,0.2
25,10,0.2
26,5,0.30000000000000004
27,14,0.2
28,27,0.2
29,2,0.30000000000000004
30,18,0.1
31,17,0.2
32,28,0.1
33,5,0.2
34,16,0.1
35,21,0.1
36,4,0.2
37,19,0.1
38,22,0.1
39,11,0.1
40,7,0.2
41,27,0.1
42,1,0.30000000000000004
43,28,0.2
44,14,0.1
45,24,0.1
46,4,0.30000000000000004
47,23,0.1
48,8,0.2
49,3,0.30000000000000004
50,19,0.2
51,20,0.2
52,12,0.1
53,13,0.2
54,10,0.1
55,29,0.1
56,15,0.7000000000000001
57,18,0.7000000000000001
58,26,0.7000000000000001
59,27,0.7000000000000001
60,10,0.7000000000000001
61,9,0.8
62,21,0.7000000000000001
63,2,0.8
64,5,0.8
65,24,0.7000000000000001
66,28,0.6000000000000001
67,8,0.7000000000000001
68,6,0.8
69,0,0.8
70,28,0.7000000000000001
71,16,0.7000000000000001
72,17,0.7000000000000001
73,0,0.7000000000000001
74,7,0.7000000000000001
75,2,0.7000000000000001
76,29,0.6000000000000001
77,5,0.7000000000000001
78,1,0.8
79,12,0.7000000000000001
80,8,0.8
81,4,0.7000000000000001
82,11,0.7000000000000001
83,3,0.7000000000000001
84,22,0.7000000000000001
85,23,0.7000000000000001
86,6,0.7000000000000001
87,20,0.7000000000000001
88,12,0.8
89,13,0.7000000000000001
90,14,0.7000000000000001
91,9,0.7000000000000001
92,25,0.7000000000000001
93,19,0.7000000000000001
94,1,0.7000000000000001
95,3,0.8
96,25,0.8
97,20,0.8
98,13,0.8
99,14,0.8
100,21,0.8
101,16,0.8
102,29,0.8
103,0,0.9
104,15,0.8
105,19,0.8
106,3,0.9
107,11,0.8
108,4,0.9
109,26,0.8
110,24,0.8
111,22,0.8
112,23,0.8
113,10,0.8
114,4,0.8
115,7,0.8
116,1,0.9
117,2,0.9
118,5,0.9
119,29,0.7000000000000001
120,17,0.8
121,27,0.8
122,28,0.8
123,18,0.8
124,9,0.1
125,1,0.1
126,27,0.0
127,7,0.1
128,5,0.1
129,6,0.1
130,11,0.0
131,28,0.0
132,25,0.0
133,19,0.0
134,2,0.1
135,16,0.0
136,0,0.0
137,2,0.0
138,29,0.0
139,24,0.0
140,22,0.0
141,23,0.0
142,13,0.0
143,6,0.0
144,26,0.0
145,7,0.0
146,12,0.0
147,21,0.0
148,10,0.0
149,9,0.0
150,29,0.0
151,0,0.0
152,9,0.1
153,27,0.0
154,5,0.1
155,2,0.0
156,24,0.0
157,22,0.0
158,7,0.0
159,21,0.0
160,10,0.0
161,5,0.0
162,20,0.0
163,4,0.5
164,26,0.5
165,29,0.30000000000000004
166,18,0.6000000000000001
167,13,0.5
168,10,0.5
169,14,0.6000000000000001
170,20,0.5
171,3,0.5
172,15,0.5
173,11,0.6000000000000001
174,10,0.6000000000000001
175,8,0.6000000000000001
176,25,0.6000000000000001
177,21,0.6000000000000001
178,8,0.5
179,2,0.5
180,7,0.5
181,12,0.6000000000000001
182,20,0.6000000000000001
183,28,0.5
184,6,0.5
185,9,0.6000000000000001
186,23,0.6000000000000001
187,17,0.5
188,17,0.6000000000000001
189,27,0.5
190,29,0.5
191,25,0.5
192,5,0.5
193,19,0.6000000000000001
194,16,0.5
195,19,0.5
196,23,0.5
197,9,0.5
198,2,0.6000000000000001
199,22,0.6000000000000001
200,1,0.6000000000000001
201,5,0.6000000000000001
202,6,0.6000000000000001
203,24,0.5
204,3,0.6000000000000001
205,16,0.6000000000000001
206,4,0.6000000000000001
207,15,0.0
208,24,0.6000000000000001
209,7,0.6000000000000001
210,27,0.6000000000000001
211,15,0.6000000000000001
212,18,0.5
213,14,0.5
214,23,0.30000000000000004
215,13,0.6000000000000001
216,26,0.6000000000000001
217,21,0.5
218,22,0.5
219,12,0.5
220,11,0.5
221,0,0.6000000000000001
222,16,0.4
223,27,0.30000000000000004
224,12,0.30000000000000004
225,6,0.4
226,19,0.30000000000000004
227,28,0.4
228,19,0.4
229,15,0.30000000000000004
230,11,0.4
231,22,0.4
232,10,0.4
233,18,0.4
234,6,0.30000000000000004
235,5,0.4
236,2,0.4
237,1,0.5
238,1,0.4
239,17,0.4
240,0,0.4
241,13,0.30000000000000004
242,3,0.4
243,21,0.4
244,28,0.30000000000000004
245,15,0.4
246,29,0.4
247,0,0.5
248,9,0.30000000000000004
249,18,0.30000000000000004
250,8,0.4
251,8,0.30000000000000004
252,26,0.30000000000000004
253,20,0.30000000000000004
254,13,0.4
255,25,0.30000000000000004
256,9,0.30000000000000004
257,12,0.4
258,22,0.30000000000000004
259,21,0.30000000000000004
260,7,0.30000000000000004
261,26,0.4
262,25,0.4
263,14,0.4
264,24,0.30000000000000004
265,7,0.4
266,20,0.4
267,10,0.30000000000000004
268,18,0.30000000000000004
269,16,0.30000000000000004
270,9,0.4
271,17,0.30000000000000004
272,4,0.4
273,24,0.4
274,14,0.30000000000000004
275,11,0.30000000000000004
276,20,0.925
277,6,0.93
278,12,0.93
279,24,0.925
280,22,0.93
281,11,0.93
282,27,0.925
283,14,0.93
284,7,0.93
285,21,0.93
286,21,0.925
287,29,0.925
288,23,0.93
289,15,0.93
290,4,0.93
291,5,0.93
292,18,0.93
293,10,0.93
294,19,0.925
295,22,0.925
296,25,0.925
297,3,0.93
298,1,0.93
299,8,0.93
300,21,0.93
301,15,0.93
302,5,0.93
303,1,0.93
304,17,0.925
305,0,0.93
306,9,0.93
307,19,0.93
308,16,0.93
309,22,0.93
310,20,0.925
311,12,0.93
312,3,0.93
313,16,0.925
314,18,0.905
315,8,0.9
316,4,0.905
317,12,0.905
318,2,0.905
319,13,0.905
320,20,0.905
321,11,0.915
322,28,0.905
323,29,0.9
324,22,0.9
325,9,0.9
326,8,0.905
327,24,0.905
328,26,0.9
329,5,0.905
330,24,0.9
331,8,0.915
332,11,0.9
333,15,0.91
334,26,0.905
335,12,0.9
336,21,0.915
337,11,0.91
338,11,0.905
339,19,0.9
340,16,0.905
341,3,0.905
342,2,0.91
343,18,0.9
344,27,0.9
345,9,0.91
346,13,0.9
347,16,0.91
348,17,0.905
349,14,0.915
350,19,0.9
351,11,0.905
352,21,0.915
353,12,0.9
354,26,0.905
355,15,0.91
356,11,0.9
357,8,0.915
358,24,0.9
359,5,0.905
360,26,0.9
361,24,0.905
362,8,0.905
363,9,0.9
364,22,0.9
365,28,0.905
366,11,0.915
367,13,0.905
368,2,0.905
369,12,0.905
370,4,0.905
371,8,0.9
372,18,0.905
373,20,0.905
374,29,0.9
375,11,0.91
376,2,0.91
377,27,0.9
378,25,0.9
379,7,0.905
380,17,0.9
381,21,0.9
382,23,0.905
383,13,0.915
384,24,0.91
385,17,0.91
386,9,0.915
387,14,0.9
388,7,0.925
389,16,0.915
390,14,0.92
391,25,0.91
392,28,0.92
393,9,0.925
394,16,0.92
395,5,0.92
396,2,0.92
397,10,0.925
398,3,0.915
399,1,0.915
400,24,0.92
401,23,0.92
402,16,0.915
403,25,0.91
404,23,0.91
405,0,0.91
406,18,0.92
407,11,0.925
408,29,0.91
409,14,0.925
410,6,0.915
411,7,0.915
412,12,0.92
413,17,0.92
414,3,0.91
415,25,0.92
416,2,0.925
417,29,0.92
418,27,0.91
419,20,0.915
420,15,0.915
421,7,0.92
422,7,0.91
423,12,0.925
424,9,0.92
425,5,0.915
426,20,0.91
427,10,0.915
428,8,0.92
429,20,0.92
430,2,0.92
431,5,0.92
432,16,0.92
433,7,0.925
434,5,0.925
435,18,0.915
436,13,0.925
437,0,0.915
438,26,0.915
439,19,0.915
440,3,0.925
441,0,0.925
442,8,0.925
443,22,0.92
444,15,0.92
445,9,0.925
446,3,0.915
447,1,0.925
448,5,0.91
449,2,0.915
450,25,0.915
451,4,0.915
452,24,0.915
453,26,0.91
454,29,0.905
455,6,0.92
456,1,0.915
457,28,0.92
458,27,0.92
459,1,0.92
460,22,0.91
461,10,0.92
462,19,0.92
463,4,0.92
464,4,0.925
465,8,0.91
466,28,0.915
467,10,0.925
468,21,0.92
469,26,0.92
470,15,0.925
471,17,0.915
472,11,0.92
473,1,0.91
474,19,0.935
475,27,0.93
476,16,0.935
477,25,0.935
478,23,0.935
479,26,0.93
480,24,0.93
481,22,0.935
482,21,0.935
483,15,0.935
484,12,0.935
485,0,0.935
486,9,0.935
487,5,0.935
488,11,0.935
489,14,0.935
490,2,0.935
491,13,0.935
492,27,0.935
493,25,0.93
494,3,0.935
495,28,0.93
496,6,0.935
497,1,0.935
498,18,0.935
499,26,0.935
500,24,0.935
501,29,0.93
502,20,0.935
503,10,0.935
504,8,0.935
505,17,0.935
506,4,0.935
507,7,0.935
508,23,0.975
509,0,0.98
510,7,0.98
511,22,0.975
512,9,0.98
513,6,0.98
514,3,0.98
515,18,0.975
516,19,0.975
517,14,0.975
518,8,0.98
519,1,1.0
520,15,0.975
521,16,0.975
522,27,0.975
523,5,1.0
524,25,0.975
525,1,0.98
526,4,1.0
527,6,1.0
528,7,1.0
529,24,0.975
530,21,0.975
531,2,1.0
532,20,0.975
533,29,0.975
534,17,0.975
535,0,1.0
536,2,0.98
537,5,0.98
538,28,0.975
539,26,0.975
540,3,1.0
541,4,0.98
542,29,0.935
543,2,0.94
544,14,0.94
545,8,0.945
546,3,0.94
547,20,0.945
548,17,0.94
549,19,0.94
550,2,0.945
551,18,0.945
552,12,0.94
553,7,0.945
554,16,0.94
555,4,0.945
556,29,0.94
557,27,0.94
558,5,0.94
559,3,0.945
560,10,0.94
561,17,0.945
562,15,0.94
563,16,0.945
564,6,0.945
565,10,0.945
566,13,0.945
567,5,0.945
568,1,0.94
569,20,0.94
570,15,0.945
571,28,0.94
572,0,0.94
573,14,0.945
574,25,0.94
575,21,0.94
576,12,0.945
577,4,0.94
578,24,0.94
579,22,0.94
580,26,0.94
581,11,0.945
582,13,0.94
583,11,0.94
584,18,0.94
585,9,0.94
586,8,0.94
587,6,0.94
588,9,0.945
589,0,0.945
590,23,0.94
591,7,0.94
592,19,0.945
593,28,0.935
594,1,0.945
595,25,0.99
596,22,0.995
597,11,0.99
598,1,0.995
599,28,0.99
600,9,0.99
601,23,0.99
602,16,0.99
603,4,0.99
604,7,0.995
605,16,0.995
606,17,0.99
607,23,0.995
608,20,0.99
609,21,0.995
610,22,0.99
611,2,0.995
612,18,0.99
613,24,0.995
614,19,0.96
615,14,0.99
616,28,0.995
617,15,0.995
618,19,0.995
619,12,0.995
620,12,0.99
621,5,0.995
622,25,0.995
623,13,0.99
624,5,0.99
625,13,0.995
626,15,0.99
627,27,0.99
628,26,0.99
629,11,0.995
630,6,0.995
631,26,0.995
632,19,0.99
633,17,0.995
634,14,0.995
635,0,0.995
636,20,0.995
637,10,0.995
638,4,0.995
639,8,0.99
640,9,0.995
641,27,0.995
642,21,0.99
643,7,0.99
644,29,0.99
645,10,0.99
646,3,0.995
647,24,0.99
648,8,0.995
649,6,0.99
650,29,0.995
651,18,0.955
652,18,0.995
653,5,0.96
654,12,0.965
655,12,0.96
656,24,0.98
657,2,0.96
658,12,0.985
659,0,0.985
660,11,0.98
661,0,0.965
662,5,0.985
663,6,0.965
664,2,0.965
665,19,0.98
666,8,0.965
667,24,0.96
668,23,0.985
669,5,0.965
670,26,0.955
671,11,0.96
672,20,0.96
673,18,0.985
674,22,0.96
675,23,0.98
676,25,0.96
677,20,0.98
678,3,0.99
679,8,0.985
680,26,0.96
681,10,0.96
682,15,0.985
683,27,0.98
684,11,0.985
685,8,0.96
686,17,0.96
687,9,0.965
688,16,0.98
689,10,0.965
690,29,0.96
691,13,0.965
692,27,0.955
693,22,0.98
694,15,0.98
695,12,0.98
696,3,0.985
697,14,0.98
698,16,0.985
699,28,0.96
700,10,0.985
701,16,0.96
702,14,0.985
703,4,0.985
704,11,0.965
705,13,0.96
706,21,0.98
707,17,0.98
708,13,0.98
709,9,0.985
710,26,0.985
711,7,0.96
712,22,0.955
713,25,0.955
714,4,0.96
715,18,0.98
716,4,0.965
717,13,0.985
718,26,0.98
719,25,0.98
720,19,0.955
721,28,0.955
722,1,0.965
723,10,0.98
724,27,0.985
725,21,0.96
726,23,0.96
727,7,0.965
728,15,0.96
729,17,0.985
730,3,0.965
731,20,0.955
732,18,0.96
733,6,0.96
734,14,0.96
735,24,0.955
736,17,0.955
737,6,0.985
738,29,0.985
739,28,0.985
740,1,0.99
741,21,0.955
742,28,0.98
743,0,0.99
744,2,0.99
745,24,0.985
746,29,0.955
747,29,0.98
748,2,0.985
749,1,0.985
750,23,0.955
751,27,0.96
752,21,0.985
753,7,0.985
754,20,0.985
755,0,0.96
756,1,0.96
757,9,0.96
758,19,0.985
759,3,0.96
760,22,0.985
761,25,0.985
762,7,0.95
763,17,0.95
764,15,0.955
765,5,0.95
766,0,0.955
767,24,0.95
768,25,0.95
769,8,0.955
770,2,0.95
771,1,0.95
772,3,0.955
773,9,0.95
774,12,0.955
775,0,0.95
776,29,0.945
777,25,0.945
778,8,0.95
779,21,0.945
780,11,0.955
781,23,0.95
782,22,0.945
783,2,0.955
784,4,0.955
785,27,0.95
786,12,0.95
787,26,0.95
788,28,0.945
789,29,0.95
790,16,0.955
791,13,0.955
792,21,0.95
793,10,0.95
794,3,0.95
795,19,0.95
796,10,0.955
797,26,0.945
798,27,0.945
799,18,0.95
800,24,0.945
801,20,0.95
802,11,0.95
803,28,0.95
804,1,0.955
805,6,0.95
806,5,0.955
807,22,0.95
808,14,0.95
809,7,0.955
810,6,0.955
811,9,0.955
812,16,0.95
813,13,0.95
814,15,0.95
815,14,0.955
816,4,0.95
817,23,0.945
818,11,0.975
819,6,0.975
820,24,0.97
821,21,0.965
822,0,0.975
823,8,0.97
824,5,0.975
825,26,0.965
826,25,0.965
827,29,0.965
828,5,0.97
829,22,0.97
830,7,0.975
831,20,0.97
832,4,0.975
833,22,0.965
834,1,0.975
835,1,0.97
836,23,0.965
837,4,0.97
838,11,0.97
839,2,0.975
840,20,0.965
841,3,0.975
842,23,0.97
843,27,0.965
844,29,0.97
845,14,0.965
846,21,0.97
847,9,0.97
848,7,0.97
849,15,0.97
850,13,0.975
851,25,0.97
852,19,0.97
853,27,0.97
854,16,0.965
855,2,0.97
856,17,0.97
857,16,0.97
858,9,0.975
859,12,0.975
860,17,0.965
861,10,0.97
862,10,0.975
863,0,0.97
864,14,0.97
865,24,0.965
866,18,0.97
867,18,0.965
868,26,0.97
869,19,0.965
870,3,0.97
871,15,0.965
872,28,0.97
873,13,0.97
874,28,0.965
875,8,0.975
876,6,0.97
877,12,0.97
878,16,1.0
879,18,1.0
880,17,1.0
881,15,1.0
882,8,1.0
883,11,1.0
884,10,1.0
885,13,1.0
886,14,1.0
887,12,1.0
888,9,1.0
889,21,1.0
890,27,1.0
891,19,1.0
892,26,1.0
893,24,1.0
894,25,1.0
895,29,1.0
896,28,1.0
897,23,1.0
898,20,1.0
899,22,1.0
