lambda,convergence_value_mean,convergence_value_ci95,convergence_p5,convergence_p95
0.0,-87.83505217254094,0.5899743706841466,-92.74217903510986,-83.45902280144989
0.01,-88.00912969800352,0.5645351386995738,-93.591967383872,-84.18235320636276
0.02,-88.12228981782822,0.5929579874520328,-94.49370640514829,-83.9948495389097
0.03,-92.45649578403234,8.057441187470202,-96.76617203382628,-83.87003633180817
0.04,-88.0448419407177,0.5401202472712682,-93.02425034918267,-83.92884626776517
0.05,-89.25541155766163,0.6263042371898001,-95.20569163476969,-85.16997739743675
0.06,-88.28772522790156,0.6483859985861364,-93.73562986998054,-83.22345413433763
0.07,-88.26079947489015,0.6023205403100317,-92.7951923889469,-83.68048006575827
0.08,-88.92927298759281,0.6476289308333313,-95.93064439578322,-84.2566282012177
0.09,-88.77459452490373,0.5666313445342471,-93.76177755890876,-84.4653936531108
0.1,-89.23132649505061,0.7322897085716076,-96.36998573088351,-84.50297671151306
0.11,-88.73101145233547,0.6560725700907069,-94.09638291432145,-83.91643895228303
0.12,-89.11422749901035,0.580064927401092,-95.21494840987818,-84.71352046445513
0.13,-92.57878843861128,8.054849935071479,-94.3353904710528,-84.3014178510696
0.14,-89.12948148407503,0.6797304606681615,-95.56277772036533,-84.5839049978961
0.15,-87.6929174794611,0.5425118009963984,-92.79161727069162,-83.23631147297353
0.16,-88.5231062799904,0.5940060325913591,-94.57381679956366,-84.32138401857789
0.17,-89.12030035879772,0.655947217515977,-96.22204595268055,-84.28087309012037
0.18,-88.84108254121064,0.6505508158767732,-94.8430503019456,-84.54686164023217
0.19,-88.68601863994647,0.6679646489994461,-94.75357146980801,-84.16169932197757
0.2,-92.44524204938048,8.05349655397454,-93.56838612522895,-83.73254921465403
0.21,-88.63623971219248,0.5265306500779687,-93.42148609745239,-84.88465734642423
0.22,-88.20175083925795,0.660530264276057,-94.60531985827257,-84.0689215658576
0.23,-88.39364986143084,0.6337729383207936,-92.9197605011462,-84.0674497833612
0.24,-88.36401189366407,0.6139152366890569,-93.98020548920401,-84.29082185833808
0.25,-87.84454195008253,0.5785085504387987,-93.11647255027756,-83.9309624428022
0.26,-88.2360171478136,0.6490666814375933,-94.67222065086219,-84.46597222298992
0.27,-88.08878409151971,0.5604225736364886,-93.61041116514865,-84.00516393024544
0.28,-87.78553329982958,0.6282091771042273,-93.71378693099369,-83.41493335876048
0.29,-88.02471762762954,0.6413996697193836,-93.77132305412864,-83.31859052576563
0.3,-88.06147254738161,0.610663515488173,-94.16008372324872,-83.66475985036637
0.31,-87.71738451873645,0.6068538914553542,-93.35018323287241,-84.02737011951997
0.32,-88.16444290542282,0.5350890027709786,-92.48182018182064,-84.37320650326346
0.33,-87.57264438019858,0.5854250456253018,-92.11676373438748,-83.48743971518195
0.34,-87.8183943619489,0.7394875356918565,-94.31731659267818,-83.48788743188767
0.35000000000000003,-87.80362954558248,0.5918565973064704,-93.77183752588827,-83.86583319326537
0.36,-87.6429209346659,0.598658627488698,-92.95172960167965,-83.37837553556118
0.37,-87.71918807340379,0.5966421713498727,-93.2424789584547,-83.90969673068476
0.38,-87.13381542686913,0.5803275897078756,-91.31320740126498,-83.43603241580524
0.39,-87.460489108447,0.6190287054005061,-93.05602257943272,-83.28334250822097
0.4,-87.15452206540344,0.5988989290797387,-92.74343160171416,-83.22465381785024
0.41000000000000003,-87.45803076394517,0.6198784212068638,-93.24162610141323,-83.08562381938023
0.42,-86.90476240014257,0.6200616300579681,-92.50743588440646,-83.01877532316912
0.43,-87.01241602926919,0.6724109616896684,-92.736613813121,-82.71779381779126
0.44,-86.85707927352831,0.5070034333138856,-91.27508293012129,-83.61748166738029
0.45,-86.83516897539431,0.5628208394723001,-91.83245388376668,-83.07566619904208
0.46,-86.92427259055529,0.5900291244816391,-92.90111208343991,-83.06104600033086
0.47000000000000003,-86.67000228738647,0.5017874576723492,-91.46572238906168,-83.36420158303208
0.48,-86.54168243843871,0.5182169059898526,-90.8340597202141,-82.99299342855569
0.49,-86.51498011151985,0.6057062181664873,-91.89520542906526,-82.90454968699245
0.5,-87.1158465617463,0.5529771804956651,-92.18355647231137,-83.68744779836751
0.51,-86.64086493789517,0.5951995486066104,-91.87586151092822,-82.73879599128435
0.52,-86.73818887339262,0.5871650722005683,-93.00090837322826,-83.2514850229659
0.53,-86.32391856123394,0.5322883179542744,-91.58158939731568,-82.93934437170185
0.54,-86.09327029412907,0.5401127630813976,-92.15629599456133,-82.601416970613
0.55,-86.24199555133548,0.45852650758663327,-90.19255750768146,-82.72779658392835
0.56,-86.10238333757955,0.4645149961144496,-90.61457295080756,-83.05334917488847
0.5700000000000001,-85.73089217382578,0.4024855764413386,-89.28567470362792,-83.25260744360119
0.58,-86.43586213181871,0.4956011729575333,-90.6122522727412,-83.19425449705193
0.59,-86.35607552412176,0.5188239808520815,-90.86795828261216,-82.49787848036722
0.6,-85.95207268944176,0.5672126429277199,-91.74997576857182,-82.93632327646745
0.61,-86.13976961697121,0.5202066214454925,-91.8647662359658,-82.64528648510289
0.62,-86.11427204690781,0.4935531672161551,-90.38591101560402,-82.83082639379046
0.63,-85.58836449955027,0.4665644710944126,-90.73123571078041,-82.5982835110622
0.64,-85.71317867750373,0.4540879607568043,-90.12226457561968,-82.65767447795186
0.65,-86.16242205185044,0.49146954417000766,-91.62721560157854,-82.96864225378997
0.66,-85.59343639566325,0.434802125075749,-89.93379319809486,-82.58683263439866
0.67,-85.75019050112054,0.46620597608106074,-90.80470227478929,-82.80242473928962
0.68,-85.5424554404007,0.4819417210610165,-90.20635756614564,-82.87961405296222
0.6900000000000001,-85.52565634982369,0.4711119716833646,-90.04840477282895,-83.03406367624123
0.7000000000000001,-85.62354891345487,0.41001810285251034,-89.21355360360654,-82.8850177352784
0.71,-85.70841943645674,0.47050769896682304,-90.15436492071537,-82.8480846628204
0.72,-85.35740855333353,0.3656567549590328,-88.04626592613178,-82.81766466118599
0.73,-85.27589854698867,0.3735836296980671,-88.67777930356723,-82.44665923678843
0.74,-85.42267028765515,0.4896454626431075,-89.94850915286403,-82.50594899821118
0.75,-84.96885280029171,0.3404607619092287,-87.69095865178011,-82.64347532840696
0.76,-84.90277520053641,0.3427828821525527,-88.08795659182795,-82.80414430773824
0.77,-85.32934482491488,0.38279469517736614,-88.78594856840796,-82.52108699654683
0.78,-85.11539567783922,0.3725733479846587,-88.02812955046655,-82.87115081665313
0.79,-85.14443090313961,0.3545691328942853,-88.28055693770834,-82.94906437929676
0.8,-85.07828887280922,0.36192309133300293,-88.63349265836844,-82.64733733985813
0.81,-85.42899504345621,0.4724572239520781,-89.88226940893382,-82.81242267635257
0.8200000000000001,-84.87600511092334,0.33701999376542735,-88.3306840894433,-82.76082235248585
0.8300000000000001,-85.22385072541239,0.37454386815694923,-88.6781718239437,-82.5747547543518
0.84,-84.71785453250084,0.3527992935151828,-88.36208703584998,-82.34249953941496
0.85,-85.1227479959544,0.3656237307273351,-87.75162190420559,-82.7203611371817
0.86,-84.97919366196797,0.3890939650559682,-88.5206948117361,-82.6506456889531
0.87,-84.85175297810696,0.3554569653158,-88.45548486019409,-82.4649639507183
0.88,-85.01276943567564,0.35559186989930597,-88.37219001484952,-82.91631714261992
0.89,-85.20386508243591,0.3529687061121112,-88.40019876701103,-82.66808565765204
0.9,-89.16477269350752,8.099682301401641,-88.49041962494856,-82.93309423515512
0.905,-85.10635728718673,0.3719216885137846,-87.97564888953104,-82.36194726377299
0.91,-93.47542667816342,11.388865337197998,-89.22819307589866,-82.81045144369202
0.915,-85.03829214283358,0.37284132522261937,-88.24496493588137,-82.20457984427308
0.92,-97.52519972909172,13.879168743587638,-89.8466028012802,-81.88806294107222
0.925,-85.26914787745145,0.38537706438002506,-88.88431011509266,-82.64451696218822
0.93,-97.54878665519398,13.87716489554557,-89.176119365236,-82.44265410982547
0.935,-89.48582272208706,8.098181856050065,-90.13664964015005,-82.64910904120212
0.9400000000000001,-89.3227383298618,8.097382221470646,-88.61851207334645,-82.76045162736307
0.9450000000000001,-97.98239655440165,13.862976443915766,-90.76681549337073,-82.87960956423275
0.95,-97.83051453859231,13.867711678300182,-90.07686137597858,-82.54418172856543
0.9550000000000001,-97.84744275341798,13.866132377491207,-89.59408581605241,-82.81508018426298
0.96,-97.49829181592077,13.878637553069582,-89.7241159175108,-82.79704847569413
0.965,-106.20855537493767,17.710258453068885,-110.39941949878994,-83.06535537389792
0.97,-110.64243284041108,19.284635492369112,-500.0,-82.81131476108324
0.975,-106.80681422363381,17.684154019711922,-115.10258952563098,-83.70259684673614
0.98,-98.28110903775422,13.851928618627442,-90.24332679111866,-83.44217337983075
0.985,-98.74298440975996,13.836894927287751,-90.80744762511092,-83.83746076577125
0.99,-99.09231991531259,13.824183110950587,-91.04537172058164,-83.959591319143
0.995,-91.36613208560078,8.059414823422243,-91.26208802110865,-84.19386213287927
1.0,-91.76120825453322,8.055258104579092,-91.75674706820273,-84.53869416775107
